Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01 00:00:00-04:00,1.2242109775543213,1.2242109775543213,1.2242109775543213,1.2242109775543213,0,0.0,0.0
1972-06-02 00:00:00-04:00,1.2188773155212402,1.2188773155212402,1.2188773155212402,1.2188773155212402,0,0.0,0.0
1972-06-05 00:00:00-04:00,1.194873571395874,1.194873571395874,1.194873571395874,1.194873571395874,0,0.0,0.0
1972-06-06 00:00:00-04:00,1.1308622360229492,1.1308622360229492,1.1308622360229492,1.1308622360229492,0,0.0,0.0
1972-06-07 00:00:00-04:00,1.1175267696380615,1.1175267696380615,1.1175267696380615,1.1175267696380615,0,0.0,0.0
1972-06-08 00:00:00-04:00,1.1441975831985474,1.1441975831985474,1.1441975831985474,1.1441975831985474,0,0.0,0.0
1972-06-09 00:00:00-04:00,1.1361963748931885,1.1361963748931885,1.1361963748931885,1.1361963748931885,0,0.0,0.0
1972-06-12 00:00:00-04:00,1.1548664569854736,1.1548664569854736,1.1548664569854736,1.1548664569854736,0,0.0,0.0
1972-06-13 00:00:00-04:00,1.1548664569854736,1.1548664569854736,1.1548664569854736,1.1548664569854736,0,0.0,0.0
1972-06-14 00:00:00-04:00,1.141530990600586,1.141530990600586,1.141530990600586,1.141530990600586,0,0.0,0.0
1972-06-15 00:00:00-04:00,1.128194808959961,1.128194808959961,1.128194808959961,1.128194808959961,0,0.0,0.0
1972-06-16 00:00:00-04:00,1.1255282163619995,1.1255282163619995,1.1255282163619995,1.1255282163619995,0,0.0,0.0
1972-06-19 00:00:00-04:00,1.1148600578308105,1.1148600578308105,1.1148600578308105,1.1148600578308105,0,0.0,0.0
1972-06-20 00:00:00-04:00,1.1175267696380615,1.1175267696380615,1.1175267696380615,1.1175267696380615,0,0.0,0.0
1972-06-21 00:00:00-04:00,1.141530990600586,1.141530990600586,1.141530990600586,1.141530990600586,0,0.0,0.0
1972-06-22 00:00:00-04:00,1.1628676652908325,1.1628676652908325,1.1628676652908325,1.1628676652908325,0,0.0,0.0
1972-06-23 00:00:00-04:00,1.1041905879974365,1.1041905879974365,1.1041905879974365,1.1041905879974365,0,0.0,0.0
1972-06-26 00:00:00-04:00,1.0721850395202637,1.0721850395202637,1.0721850395202637,1.0721850395202637,0,0.0,0.0
1972-06-27 00:00:00-04:00,1.1175267696380615,1.1175267696380615,1.1175267696380615,1.1175267696380615,0,0.0,0.0
1972-06-28 00:00:00-04:00,1.128194808959961,1.128194808959961,1.128194808959961,1.128194808959961,0,0.0,0.0
1972-06-29 00:00:00-04:00,1.1548664569854736,1.1548664569854736,1.1548664569854736,1.1548664569854736,0,0.0,0.0
1972-06-30 00:00:00-04:00,1.1895381212234497,1.1895381212234497,1.1895381212234497,1.1895381212234497,0,0.0,0.0
1972-07-03 00:00:00-04:00,1.234879732131958,1.234879732131958,1.234879732131958,1.234879732131958,0,0.0,0.0
1972-07-05 00:00:00-04:00,1.280220627784729,1.280220627784729,1.280220627784729,1.280220627784729,0,0.0,0.0
1972-07-06 00:00:00-04:00,1.280220627784729,1.280220627784729,1.280220627784729,1.280220627784729,0,0.0,0.0
1972-07-07 00:00:00-04:00,1.2588844299316406,1.2588844299316406,1.2588844299316406,1.2588844299316406,0,0.0,0.0
1972-07-10 00:00:00-04:00,1.2482157945632935,1.2482157945632935,1.2482157945632935,1.2482157945632935,0,0.0,0.0
